Subscription Type,Monthly Revenue,Join Date,Country,Age,Gender,Device,Plan Duration
Premium,15,2022-10-05,France,35,Male,Laptop,1 Month
Basic,11,2022-11-06,Brazil,51,Male,Smart TV,1 Month
Standard,12,2022-11-17,Mexico,45,Male,Smartphone,1 Month
Standard,14,2022-11-18,Spain,51,Male,Laptop,1 Month
Basic,14,2022-11-22,Italy,46,Female,Smart TV,1 Month
Premium,15,2022-12-04,United States,28,Male,Smart TV,1 Month
Basic,12,2022-11-19,Canada,46,Female,Smart TV,1 Month
Standard,11,2022-11-06,United Kingdom,46,Female,Smartphone,1 Month
Premium,12,2022-10-15,Australia,32,Female,Laptop,1 Month
Basic,11,2022-10-17,Germany,39,Female,Smart TV,1 Month
Premium,11,2022-10-19,France,41,Female,Smartphone,1 Month
Basic,13,2022-10-23,Brazil,47,Male,Smart TV,1 Month
Standard,12,2022-10-24,Mexico,35,Male,Smart TV,1 Month
Standard,12,2022-10-23,Spain,37,Female,Smart TV,1 Month
Basic,11,2022-10-10,Italy,47,Male,Tablet,1 Month
Premium,13,2022-10-05,United States,48,Female,Laptop,1 Month
Basic,12,2022-07-01,Canada,30,Female,Laptop,1 Month
Standard,10,2022-07-01,United Kingdom,36,Male,Smart TV,1 Month
Premium,10,2022-06-25,Australia,50,Female,Smartphone,1 Month
Basic,12,2022-06-24,Germany,41,Male,Tablet,1 Month
Basic,14,2022-06-28,France,46,Female,Smartphone,1 Month
Basic,15,2022-08-11,Brazil,36,Female,Laptop,1 Month
Standard,14,2022-08-12,Mexico,48,Male,Tablet,1 Month
Premium,10,2022-08-07,Spain,37,Female,Laptop,1 Month
Basic,14,2022-08-06,Italy,49,Male,Laptop,1 Month
Basic,12,2022-07-18,United States,31,Female,Laptop,1 Month
Premium,12,2022-06-16,Canada,42,Female,Laptop,1 Month
Standard,11,2022-05-30,United Kingdom,45,Female,Tablet,1 Month
Standard,15,2022-05-28,Australia,51,Female,Tablet,1 Month
Basic,11,2022-05-31,Germany,31,Female,Smart TV,1 Month
Premium,14,2022-06-04,France,41,Male,Tablet,1 Month
Standard,14,2022-06-29,Brazil,40,Male,Smart TV,1 Month
Basic,10,2022-07-24,Mexico,27,Male,Tablet,1 Month
Standard,10,2022-07-19,Spain,46,Female,Tablet,1 Month
Premium,10,2022-06-30,Italy,30,Female,Smart TV,1 Month
Basic,11,2022-06-16,United States,37,Male,Smart TV,1 Month
Premium,15,2022-06-10,Canada,45,Male,Smartphone,1 Month
Standard,11,2022-06-01,United Kingdom,40,Male,Smart TV,1 Month
Basic,13,2022-06-03,Australia,45,Male,Laptop,1 Month
Standard,11,2022-06-05,Germany,34,Male,Laptop,1 Month
Premium,10,2022-06-07,France,33,Male,Laptop,1 Month
Basic,10,2022-06-22,Brazil,47,Female,Laptop,1 Month
Standard,11,2022-06-28,Mexico,32,Male,Smart TV,1 Month
Premium,12,2022-06-29,Spain,41,Female,Tablet,1 Month
Basic,15,2022-07-03,Italy,31,Female,Tablet,1 Month
Premium,15,2022-07-08,United States,43,Male,Tablet,1 Month
Basic,10,2022-07-13,Canada,32,Female,Tablet,1 Month
Standard,10,2022-07-27,United Kingdom,46,Female,Smartphone,1 Month
Standard,14,2022-07-30,Australia,38,Male,Smartphone,1 Month
Basic,11,2022-08-13,Germany,31,Female,Smart TV,1 Month
Premium,14,2022-08-18,France,31,Female,Laptop,1 Month
Basic,10,2022-08-24,Brazil,50,Male,Laptop,1 Month
Standard,10,2022-09-08,Mexico,32,Male,Laptop,1 Month
Premium,13,2022-09-04,Spain,38,Female,Smartphone,1 Month
Basic,15,2022-09-04,Italy,37,Female,Laptop,1 Month
Premium,12,2022-09-04,United States,36,Male,Smart TV,1 Month
Basic,11,2022-08-27,Canada,30,Male,Smart TV,1 Month
Standard,14,2022-08-25,United Kingdom,28,Male,Smart TV,1 Month
Standard,13,2022-08-25,Australia,40,Male,Smartphone,1 Month
Basic,14,2022-09-01,Germany,28,Female,Tablet,1 Month
Premium,15,2022-09-13,France,37,Female,Laptop,1 Month
Basic,15,2022-10-05,Brazil,30,Male,Smart TV,1 Month
Standard,11,2022-10-08,Mexico,33,Female,Smart TV,1 Month
Premium,11,2022-10-26,Spain,49,Male,Tablet,1 Month
Basic,12,2022-10-18,Italy,36,Female,Smart TV,1 Month
Premium,12,2022-10-07,United States,28,Female,Smartphone,1 Month
Basic,10,2022-09-17,Canada,51,Male,Tablet,1 Month
Standard,11,2022-09-18,United Kingdom,35,Female,Smartphone,1 Month
Standard,14,2022-09-27,Australia,31,Male,Smart TV,1 Month
Basic,13,2022-09-30,Germany,39,Male,Smartphone,1 Month
Premium,10,2022-10-30,France,51,Female,Laptop,1 Month
Basic,11,2022-11-09,Brazil,44,Male,Smartphone,1 Month
Standard,11,2022-11-17,Mexico,41,Female,Smartphone,1 Month
Premium,10,2022-11-18,Spain,28,Female,Laptop,1 Month
Basic,15,2022-11-22,Italy,38,Male,Laptop,1 Month
Premium,14,2022-11-22,Spain,43,Male,Smartphone,1 Month
Basic,13,2022-11-21,Spain,38,Male,Smartphone,1 Month
Standard,14,2022-11-10,United States,30,Male,Tablet,1 Month
Standard,12,2022-10-21,Canada,32,Female,Laptop,1 Month
Basic,11,2022-10-21,United States,35,Male,Smartphone,1 Month
Premium,14,2022-10-23,United States,27,Male,Smart TV,1 Month
Basic,15,2022-10-24,Canada,49,Female,Tablet,1 Month
Standard,12,2022-10-23,United Kingdom,42,Female,Tablet,1 Month
Premium,10,2022-10-21,Australia,40,Male,Smartphone,1 Month
Basic,15,2022-10-06,Germany,43,Female,Tablet,1 Month
Premium,11,2022-07-26,France,44,Female,Smart TV,1 Month
Basic,15,2022-07-13,Brazil,32,Male,Tablet,1 Month
Standard,10,2022-07-06,Mexico,50,Male,Tablet,1 Month
Standard,14,2022-07-07,Spain,35,Male,Tablet,1 Month
Basic,15,2022-07-01,Italy,44,Female,Laptop,1 Month
Premium,14,2022-07-31,Spain,42,Female,Smart TV,1 Month
Basic,12,2022-08-06,Spain,34,Female,Smart TV,1 Month
Standard,15,2022-08-07,United States,37,Female,Tablet,1 Month
Premium,10,2022-08-06,Canada,43,Male,Smartphone,1 Month
Basic,13,2022-08-03,United States,32,Male,Smart TV,1 Month
Basic,15,2022-06-18,United States,33,Female,Smart TV,1 Month
Basic,14,2022-06-17,Canada,32,Female,Tablet,1 Month
Standard,13,2022-06-07,United Kingdom,41,Male,Smartphone,1 Month
Premium,15,2022-06-06,Australia,31,Male,Tablet,1 Month
Basic,14,2022-06-04,Germany,44,Male,Tablet,1 Month
Basic,11,2022-06-20,France,49,Male,Laptop,1 Month
Premium,10,2022-07-10,Brazil,48,Female,Tablet,1 Month
Standard,13,2022-07-13,Mexico,42,Female,Smartphone,1 Month
Standard,11,2022-07-07,Spain,50,Female,Laptop,1 Month
Basic,14,2022-06-22,Italy,49,Female,Smart TV,1 Month
Premium,14,2022-06-15,Spain,30,Female,Laptop,1 Month
Standard,11,2022-06-03,Spain,38,Male,Laptop,1 Month
Basic,14,2022-06-04,United States,38,Male,Smartphone,1 Month
Standard,11,2022-06-05,Canada,39,Female,Smart TV,1 Month
Premium,15,2022-06-07,United States,42,Female,Laptop,1 Month
Basic,10,2022-06-14,United States,28,Male,Smart TV,1 Month
Premium,10,2022-06-17,Canada,38,Male,Smartphone,1 Month
Standard,14,2022-06-19,United Kingdom,40,Female,Tablet,1 Month
Basic,12,2022-07-02,Australia,30,Female,Tablet,1 Month
Standard,10,2022-07-03,Germany,40,Male,Smartphone,1 Month
Premium,10,2022-07-13,France,31,Male,Smart TV,1 Month
Basic,14,2022-07-26,Brazil,41,Male,Smartphone,1 Month
Standard,11,2022-07-27,Mexico,37,Male,Smartphone,1 Month
Premium,14,2022-08-08,Spain,49,Male,Tablet,1 Month
Basic,14,2022-08-17,Italy,29,Male,Smart TV,1 Month
Premium,10,2022-08-20,Spain,31,Male,Smart TV,1 Month
Basic,10,2022-09-05,Spain,39,Male,Tablet,1 Month
Standard,12,2022-09-05,United States,51,Female,Smartphone,1 Month
Standard,10,2022-09-05,Canada,38,Female,Smartphone,1 Month
Basic,11,2022-09-06,United States,29,Female,Tablet,1 Month
Premium,13,2022-09-03,United States,41,Female,Laptop,1 Month
Basic,13,2022-08-29,Canada,48,Female,Tablet,1 Month
Standard,14,2022-08-27,United Kingdom,39,Male,Smart TV,1 Month
Premium,12,2022-08-29,Australia,37,Male,Smartphone,1 Month
Basic,11,2022-09-13,Germany,37,Female,Smartphone,1 Month
Premium,14,2022-09-24,France,34,Male,Smartphone,1 Month
Basic,15,2022-10-05,Brazil,37,Male,Smartphone,1 Month
Standard,14,2022-10-18,Mexico,37,Female,Smart TV,1 Month
Standard,13,2022-10-19,Spain,51,Female,Tablet,1 Month
Basic,15,2022-10-14,Italy,45,Male,Laptop,1 Month
Premium,14,2022-09-30,Spain,29,Female,Laptop,1 Month
Basic,14,2022-09-19,Spain,37,Male,Laptop,1 Month
Standard,10,2022-09-24,United States,34,Male,Tablet,1 Month
Premium,14,2022-09-28,Canada,35,Male,Smartphone,1 Month
Basic,12,2022-09-29,United States,29,Male,Laptop,1 Month
Premium,11,2022-10-11,United States,45,Male,Tablet,1 Month
Basic,14,2022-11-08,Canada,36,Male,Smart TV,1 Month
Standard,11,2022-11-16,United Kingdom,27,Female,Laptop,1 Month
Standard,10,2022-11-17,Australia,31,Female,Laptop,1 Month
Basic,10,2022-11-20,Germany,41,Female,Laptop,1 Month
Premium,13,2022-11-21,France,37,Male,Smart TV,1 Month
Basic,12,2022-11-21,Brazil,49,Female,Tablet,1 Month
Standard,12,2022-11-18,Mexico,37,Female,Smart TV,1 Month
Premium,14,2022-10-26,Spain,36,Female,Smartphone,1 Month
Basic,13,2022-10-25,Italy,38,Female,Smart TV,1 Month
Premium,15,2022-10-26,Spain,49,Female,Tablet,1 Month
Basic,15,2022-10-23,Spain,31,Male,Laptop,1 Month
Standard,13,2022-10-23,United States,29,Female,Laptop,1 Month
Standard,12,2022-10-16,Canada,35,Female,Tablet,1 Month
Basic,14,2022-08-09,United States,46,Female,Tablet,1 Month
Premium,10,2022-08-02,United States,29,Female,Laptop,1 Month
Basic,12,2022-07-16,Canada,43,Female,Laptop,1 Month
Standard,15,2022-07-17,United Kingdom,38,Female,Tablet,1 Month
Premium,14,2022-07-14,Australia,48,Female,Smart TV,1 Month
Basic,14,2022-07-16,Germany,41,Male,Laptop,1 Month
Premium,15,2022-08-06,France,51,Female,Laptop,1 Month
Basic,14,2022-08-07,Brazil,39,Male,Smart TV,1 Month
Standard,11,2022-08-07,Mexico,31,Male,Smartphone,1 Month
Standard,15,2022-08-04,Spain,28,Male,Laptop,1 Month
Basic,15,2022-07-29,Italy,47,Male,Laptop,1 Month
Premium,14,2022-06-19,Spain,35,Female,Smart TV,1 Month
Basic,15,2022-06-09,Spain,33,Male,Smartphone,1 Month
Standard,11,2022-06-06,United States,41,Male,Smartphone,1 Month
Premium,12,2022-06-06,Canada,38,Female,Smart TV,1 Month
Basic,10,2022-06-11,United States,49,Male,Laptop,1 Month
Basic,14,2022-06-18,United States,29,Female,Smart TV,1 Month
Basic,13,2022-06-27,Canada,50,Male,Laptop,1 Month
Standard,12,2022-07-05,United Kingdom,29,Female,Tablet,1 Month
Premium,15,2022-07-06,Australia,44,Male,Smart TV,1 Month
Basic,14,2022-06-16,Germany,36,Female,Smart TV,1 Month
Basic,14,2022-06-05,France,46,Female,Smart TV,1 Month
Premium,14,2022-06-05,Brazil,30,Male,Smartphone,1 Month
Standard,15,2022-06-06,Mexico,46,Female,Tablet,1 Month
Standard,15,2022-06-07,Spain,33,Male,Smartphone,1 Month
Basic,15,2022-06-10,Italy,46,Female,Tablet,1 Month
Premium,14,2022-06-13,Spain,50,Male,Tablet,1 Month
Standard,14,2022-06-14,Spain,27,Female,Smart TV,1 Month
Basic,12,2022-06-22,United States,48,Female,Smart TV,1 Month
Standard,14,2022-07-03,Canada,50,Female,Smartphone,1 Month
Premium,13,2022-07-05,United States,28,Female,Tablet,1 Month
Basic,15,2022-07-11,United States,29,Female,Smartphone,1 Month
Premium,11,2022-07-17,Canada,36,Male,Smart TV,1 Month
Standard,12,2022-07-27,United Kingdom,51,Male,Laptop,1 Month
Basic,15,2022-08-14,Australia,51,Male,Smartphone,1 Month
Standard,13,2022-08-15,Germany,43,Male,Smart TV,1 Month
Premium,14,2022-09-02,France,38,Female,Laptop,1 Month
Basic,11,2022-09-05,Brazil,45,Female,Smartphone,1 Month
Standard,10,2022-09-06,Mexico,28,Female,Smart TV,1 Month
Premium,11,2022-09-06,Spain,27,Male,Smartphone,1 Month
Basic,11,2022-09-05,Italy,41,Female,Smartphone,1 Month
Premium,14,2022-09-06,Spain,49,Male,Smart TV,1 Month
Basic,12,2022-08-29,Spain,35,Male,Smartphone,1 Month
Standard,13,2022-08-30,United States,29,Female,Smart TV,1 Month
Standard,10,2022-09-02,Canada,42,Male,Smartphone,1 Month
Basic,15,2022-09-20,United States,33,Male,Tablet,1 Month
Premium,10,2022-09-23,United States,30,Male,Laptop,1 Month
Basic,11,2022-09-29,Canada,43,Female,Smart TV,1 Month
Standard,10,2022-10-09,United Kingdom,42,Male,Smartphone,1 Month
Premium,11,2022-10-12,Australia,39,Male,Tablet,1 Month
Basic,15,2022-10-06,Germany,32,Female,Smart TV,1 Month
Premium,14,2022-09-21,France,31,Male,Smartphone,1 Month
Basic,13,2022-09-23,Brazil,39,Male,Smartphone,1 Month
Standard,12,2022-09-28,Mexico,41,Female,Smartphone,1 Month
Standard,12,2022-09-29,Spain,51,Female,Smart TV,1 Month
Basic,13,2022-10-03,Italy,29,Male,Laptop,1 Month
Premium,10,2022-10-28,Spain,33,Female,Smart TV,1 Month
Basic,12,2022-11-14,Spain,51,Female,Tablet,1 Month
Standard,11,2022-11-16,United States,38,Male,Tablet,1 Month
Premium,10,2022-11-17,Canada,37,Female,Laptop,1 Month
Basic,13,2022-11-20,United States,50,Female,Laptop,1 Month
Premium,12,2022-11-21,United States,33,Male,Tablet,1 Month
Basic,11,2022-11-19,Canada,27,Male,Laptop,1 Month
Standard,11,2022-10-28,United Kingdom,50,Female,Smartphone,1 Month
Standard,15,2022-10-27,Australia,47,Female,Laptop,1 Month
Basic,13,2022-10-27,Germany,41,Male,Laptop,1 Month
Premium,10,2022-10-27,France,49,Female,Laptop,1 Month
Basic,15,2022-10-25,Brazil,32,Male,Smart TV,1 Month
Standard,10,2022-10-17,Mexico,38,Female,Smartphone,1 Month
Premium,14,2022-08-20,Spain,38,Female,Smartphone,1 Month
Basic,15,2022-08-16,Italy,28,Female,Smart TV,1 Month
Premium,13,2022-08-15,Spain,31,Male,Tablet,1 Month
Basic,14,2022-08-15,Spain,39,Female,Smartphone,1 Month
Standard,11,2022-07-29,United States,28,Female,Smartphone,1 Month
Standard,12,2022-07-17,Canada,30,Female,Smartphone,1 Month
Basic,11,2022-07-26,United States,42,Male,Tablet,1 Month
Premium,14,2022-07-31,United States,33,Female,Laptop,1 Month
Basic,14,2022-08-03,Canada,34,Female,Smart TV,1 Month
Standard,13,2022-08-04,United Kingdom,49,Female,Smart TV,1 Month
Premium,13,2022-08-03,Australia,41,Male,Laptop,1 Month
Basic,12,2022-06-27,Germany,28,Male,Smart TV,1 Month
Premium,14,2022-06-27,France,49,Female,Laptop,1 Month
Basic,15,2022-06-15,Brazil,49,Male,Tablet,1 Month
Standard,11,2022-06-13,Mexico,36,Male,Tablet,1 Month
Standard,11,2022-06-12,Spain,31,Male,Smart TV,1 Month
Basic,10,2022-06-18,Italy,38,Male,Smartphone,1 Month
Premium,15,2022-06-26,Spain,34,Female,Tablet,1 Month
Basic,11,2022-06-30,Spain,51,Female,Smartphone,1 Month
Standard,13,2022-07-03,United States,49,Male,Smart TV,1 Month
Premium,13,2022-06-19,Canada,27,Female,Tablet,1 Month
Basic,10,2022-06-08,United States,38,Male,Smart TV,1 Month
Basic,10,2022-06-08,United States,51,Male,Tablet,1 Month
Basic,14,2022-06-09,Canada,47,Female,Tablet,1 Month
Standard,15,2022-06-09,United Kingdom,37,Male,Smartphone,1 Month
Premium,13,2022-06-10,Australia,37,Female,Laptop,1 Month
Basic,11,2022-06-11,Germany,39,Female,Tablet,1 Month
Basic,11,2022-06-13,France,31,Male,Smartphone,1 Month
Premium,13,2022-06-17,Brazil,36,Male,Smart TV,1 Month
Standard,15,2022-06-27,Mexico,42,Female,Smart TV,1 Month
Standard,11,2022-07-05,Spain,49,Male,Laptop,1 Month
Basic,15,2022-07-07,Italy,44,Female,Laptop,1 Month
Premium,11,2022-07-16,Spain,33,Male,Laptop,1 Month
Standard,11,2022-07-23,Spain,42,Male,Tablet,1 Month
Basic,13,2022-08-03,United States,39,Male,Smartphone,1 Month
Standard,10,2022-08-11,Canada,49,Male,Smartphone,1 Month
Premium,12,2022-08-15,United States,31,Male,Smartphone,1 Month
Basic,14,2022-08-18,United States,37,Male,Tablet,1 Month
Premium,13,2022-08-26,Canada,30,Female,Tablet,1 Month
Standard,10,2022-09-03,United Kingdom,42,Male,Smartphone,1 Month
Basic,15,2022-09-04,Australia,37,Female,Smart TV,1 Month
Standard,15,2022-09-05,Germany,36,Male,Laptop,1 Month
Premium,11,2022-09-01,France,28,Female,Laptop,1 Month
Basic,15,2022-08-31,Brazil,36,Male,Tablet,1 Month
Standard,14,2022-09-01,Mexico,31,Female,Tablet,1 Month
Premium,14,2022-09-17,Spain,46,Male,Smart TV,1 Month
Basic,13,2022-09-21,Italy,28,Male,Laptop,1 Month
Premium,15,2022-09-29,Spain,31,Male,Tablet,1 Month
Basic,12,2022-10-06,Spain,43,Male,Smart TV,1 Month
Standard,10,2022-10-12,United States,28,Male,Laptop,1 Month
Standard,13,2022-10-07,Canada,32,Female,Smartphone,1 Month
Basic,12,2022-10-04,United States,31,Female,Laptop,1 Month
Premium,11,2022-09-24,United States,45,Male,Smart TV,1 Month
Basic,14,2022-09-25,Canada,36,Male,Smartphone,1 Month
Standard,14,2022-09-27,United Kingdom,35,Male,Laptop,1 Month
Premium,13,2022-09-30,Australia,27,Female,Tablet,1 Month
Basic,13,2022-10-04,Germany,32,Male,Laptop,1 Month
Premium,12,2022-10-24,France,46,Female,Smartphone,1 Month
Basic,12,2022-10-28,Brazil,36,Male,Smart TV,1 Month
Standard,13,2022-11-02,Mexico,39,Male,Laptop,1 Month
Standard,12,2022-11-07,Spain,48,Female,Smart TV,1 Month
Basic,10,2022-11-10,Italy,48,Female,Smart TV,1 Month
Premium,14,2022-11-15,Spain,27,Female,Laptop,1 Month
Basic,13,2022-11-08,Spain,45,Male,Tablet,1 Month
Standard,10,2022-11-01,United States,30,Male,Laptop,1 Month
Premium,15,2022-10-30,Canada,29,Male,Tablet,1 Month
Basic,12,2022-10-28,United States,43,Female,Laptop,1 Month
Premium,10,2022-10-26,United States,43,Male,Laptop,1 Month
Basic,15,2022-10-18,Canada,39,Female,Tablet,1 Month
Standard,14,2022-09-30,United Kingdom,27,Male,Tablet,1 Month
Standard,10,2022-09-03,Australia,33,Female,Tablet,1 Month
Basic,10,2022-08-23,Germany,32,Female,Tablet,1 Month
Premium,10,2022-08-16,France,37,Female,Tablet,1 Month
Basic,13,2022-08-11,Brazil,45,Male,Smartphone,1 Month
Standard,10,2022-08-01,Mexico,40,Female,Smartphone,1 Month
Premium,14,2022-08-01,Spain,44,Male,Laptop,1 Month
Basic,12,2022-08-01,Italy,29,Female,Tablet,1 Month
Premium,14,2022-08-02,Spain,50,Male,Laptop,1 Month
Basic,11,2022-08-04,Spain,32,Female,Laptop,1 Month
Standard,14,2022-08-04,United States,39,Male,Laptop,1 Month
Standard,15,2022-07-07,Canada,43,Female,Smartphone,1 Month
Basic,12,2022-06-27,United States,49,Female,Smartphone,1 Month
Premium,13,2022-06-19,United States,30,Male,Tablet,1 Month
Basic,12,2022-06-19,Canada,47,Male,Tablet,1 Month
Standard,10,2022-06-18,United Kingdom,51,Female,Laptop,1 Month
Premium,14,2022-06-19,Australia,40,Male,Tablet,1 Month
Basic,14,2022-06-24,Germany,40,Male,Laptop,1 Month
Premium,11,2022-06-30,France,49,Male,Smartphone,1 Month
Basic,15,2022-07-02,Brazil,43,Female,Tablet,1 Month
Standard,14,2022-06-26,Mexico,44,Female,Smartphone,1 Month
Standard,13,2022-06-21,Spain,27,Male,Smartphone,1 Month
Basic,14,2022-06-16,Italy,30,Male,Tablet,1 Month
Premium,14,2022-06-09,Spain,47,Male,Smart TV,1 Month
Basic,13,2022-06-10,Spain,51,Male,Smartphone,1 Month
Standard,15,2022-06-10,United States,31,Female,Laptop,1 Month
Premium,13,2022-06-11,Canada,34,Female,Tablet,1 Month
Basic,11,2022-06-12,United States,28,Female,Laptop,1 Month
Basic,15,2022-06-15,United States,32,Male,Smartphone,1 Month
Basic,11,2022-06-25,Canada,41,Male,Smart TV,1 Month
Standard,13,2022-06-30,United Kingdom,40,Male,Smart TV,1 Month
Premium,12,2022-07-06,Australia,46,Male,Smart TV,1 Month
Basic,13,2022-07-09,Germany,47,Male,Smart TV,1 Month
Basic,14,2022-07-18,France,45,Female,Laptop,1 Month
Premium,10,2022-07-24,Brazil,28,Female,Smartphone,1 Month
Standard,12,2022-07-27,Mexico,43,Female,Smartphone,1 Month
Standard,11,2022-08-10,Spain,41,Male,Laptop,1 Month
Basic,13,2022-08-16,Italy,32,Male,Tablet,1 Month
Premium,14,2022-08-23,Spain,44,Female,Smartphone,1 Month
Standard,11,2022-09-03,Spain,32,Male,Laptop,1 Month
Basic,12,2022-09-04,United States,47,Male,Laptop,1 Month
Standard,14,2022-09-05,Canada,37,Male,Smart TV,1 Month
Premium,13,2022-09-04,United States,40,Female,Smartphone,1 Month
Basic,11,2022-08-31,United States,48,Female,Smart TV,1 Month
Premium,10,2022-09-01,Canada,48,Male,Laptop,1 Month
Standard,10,2022-09-15,United Kingdom,35,Male,Laptop,1 Month
Basic,15,2022-09-18,Australia,28,Male,Smart TV,1 Month
Standard,11,2022-09-28,Germany,35,Female,Smart TV,1 Month
Premium,13,2022-09-30,France,43,Male,Smartphone,1 Month
Basic,15,2022-10-07,Brazil,39,Male,Laptop,1 Month
Standard,10,2022-10-08,Mexico,38,Female,Laptop,1 Month
Premium,14,2022-10-08,Spain,36,Female,Smart TV,1 Month
Basic,11,2022-10-03,Italy,42,Female,Laptop,1 Month
Premium,14,2022-10-04,Spain,27,Male,Tablet,1 Month
Basic,12,2022-10-02,Spain,48,Male,Laptop,1 Month
Standard,13,2022-10-01,United States,27,Female,Smart TV,1 Month
Standard,15,2022-10-03,Canada,49,Male,Smartphone,1 Month
Basic,11,2022-10-20,United States,29,Male,Tablet,1 Month
Premium,11,2022-10-21,United States,44,Male,Laptop,1 Month
Basic,11,2022-10-28,Canada,31,Male,Smartphone,1 Month
Standard,13,2022-11-03,United Kingdom,33,Male,Tablet,1 Month
Premium,10,2022-11-07,Australia,36,Female,Smart TV,1 Month
Basic,15,2022-11-12,Germany,43,Female,Laptop,1 Month
Premium,14,2022-11-13,France,30,Female,Smartphone,1 Month
Basic,13,2022-11-02,Brazil,44,Female,Laptop,1 Month
Standard,13,2022-11-01,Mexico,37,Female,Laptop,1 Month
Standard,14,2022-10-31,Spain,27,Male,Laptop,1 Month
Basic,12,2022-10-28,Italy,35,Female,Laptop,1 Month
Premium,13,2022-10-24,Spain,32,Male,Smart TV,1 Month
Basic,12,2022-10-03,Spain,49,Female,Laptop,1 Month
Standard,12,2022-09-13,United States,45,Female,Tablet,1 Month
Premium,11,2022-09-02,Canada,33,Female,Smartphone,1 Month
Basic,14,2022-08-30,United States,37,Female,Smartphone,1 Month
Premium,15,2022-08-25,United States,29,Male,Smartphone,1 Month
Basic,12,2022-08-11,Canada,45,Male,Smart TV,1 Month
Standard,11,2022-08-05,United Kingdom,42,Female,Smartphone,1 Month
Standard,12,2022-08-02,Australia,32,Female,Smart TV,1 Month
Basic,11,2022-08-03,Germany,47,Male,Smartphone,1 Month
Premium,12,2022-08-04,France,27,Male,Smart TV,1 Month
Basic,10,2022-08-05,Brazil,35,Male,Tablet,1 Month
Standard,15,2022-07-12,Mexico,35,Male,Laptop,1 Month
Premium,10,2022-07-02,Spain,48,Male,Tablet,1 Month
Basic,12,2022-06-26,Italy,36,Male,Smartphone,1 Month
Premium,10,2022-06-22,Spain,46,Male,Smartphone,1 Month
Basic,13,2022-06-22,Spain,33,Female,Smartphone,1 Month
Standard,14,2022-06-19,United States,43,Male,Smart TV,1 Month
Standard,14,2022-06-22,Canada,47,Female,Smartphone,1 Month
Basic,15,2022-06-27,United States,39,Female,Laptop,1 Month
Premium,15,2022-07-01,United States,30,Female,Laptop,1 Month
Basic,11,2022-06-28,Canada,46,Male,Tablet,1 Month
Standard,13,2022-06-25,United Kingdom,39,Male,Smart TV,1 Month
Premium,10,2022-06-22,Australia,28,Male,Smartphone,1 Month
Basic,13,2022-06-09,Germany,38,Male,Smartphone,1 Month
Premium,13,2022-06-10,France,36,Male,Laptop,1 Month
Basic,15,2022-06-11,Brazil,33,Male,Laptop,1 Month
Standard,10,2022-06-11,Mexico,50,Male,Smartphone,1 Month
Standard,10,2022-06-12,Spain,38,Male,Smartphone,1 Month
Basic,15,2022-06-13,Italy,29,Male,Smartphone,1 Month
Premium,15,2022-06-18,Spain,47,Female,Smart TV,1 Month
Basic,15,2022-06-29,Spain,31,Female,Tablet,1 Month
Standard,13,2022-06-30,United States,40,Male,Tablet,1 Month
Premium,14,2022-07-01,Canada,50,Male,Laptop,1 Month
Basic,11,2022-07-07,United States,43,Female,Tablet,1 Month
Basic,12,2022-07-13,United States,35,Female,Laptop,1 Month
Basic,11,2022-07-24,Canada,36,Male,Laptop,1 Month
Standard,15,2022-07-29,United Kingdom,30,Male,Smartphone,1 Month
Premium,13,2022-07-31,Australia,47,Female,Smartphone,1 Month
Basic,12,2022-08-09,Germany,30,Female,Laptop,1 Month
Basic,11,2022-08-18,France,37,Male,Smart TV,1 Month
Premium,15,2022-08-20,Brazil,34,Male,Smartphone,1 Month
Standard,15,2022-08-30,Mexico,33,Female,Smart TV,1 Month
Standard,10,2022-09-01,Spain,31,Male,Tablet,1 Month
Basic,13,2022-09-02,Italy,30,Female,Smartphone,1 Month
Premium,10,2022-09-02,Spain,35,Male,Smartphone,1 Month
Standard,14,2022-09-15,Spain,40,Female,Tablet,1 Month
Basic,13,2022-09-17,United States,29,Male,Smartphone,1 Month
Standard,14,2022-09-26,Canada,34,Female,Smart TV,1 Month
Premium,12,2022-09-27,United States,31,Male,Laptop,1 Month
Basic,15,2022-10-04,United States,28,Male,Laptop,1 Month
Premium,12,2022-10-06,Canada,46,Female,Smart TV,1 Month
Standard,11,2022-10-07,United Kingdom,38,Male,Smartphone,1 Month
Basic,13,2022-10-06,Australia,35,Female,Laptop,1 Month
Standard,15,2022-10-07,Germany,49,Male,Smartphone,1 Month
Premium,13,2022-10-06,France,42,Male,Smartphone,1 Month
Basic,14,2022-10-06,Brazil,37,Female,Laptop,1 Month
Standard,13,2022-10-04,Mexico,39,Female,Smartphone,1 Month
Premium,10,2022-10-14,Spain,47,Female,Smart TV,1 Month
Basic,12,2022-10-19,Italy,49,Male,Smartphone,1 Month
Premium,12,2022-10-21,Spain,35,Male,Laptop,1 Month
Basic,11,2022-10-28,Spain,36,Female,Smart TV,1 Month
Standard,11,2022-11-01,United States,40,Male,Tablet,1 Month
Standard,10,2022-11-12,Canada,30,Female,Smart TV,1 Month
Basic,13,2022-11-13,United States,51,Female,Smart TV,1 Month
Premium,15,2022-11-09,United States,47,Male,Laptop,1 Month
Basic,12,2022-11-08,Canada,47,Female,Laptop,1 Month
Standard,14,2022-11-06,United Kingdom,39,Male,Tablet,1 Month
Premium,10,2022-11-07,Australia,49,Male,Smart TV,1 Month
